,city,job_title,company_name,location,summary,salary,og_salary_period
215,dallas,data analyst,american heart association,dallas  tx,  steward the data by troubleshooting data quality  data analyst   science operations  the data analyst is responsible for providing and conducting analytics on   ,,
216,dallas,senior research analyst,allan bailey group  llc,dallas  tx,analyze data using statistical software  gather data about consumers  competitors  and market conditions    ,,
217,dallas,professional big data software eng   big data,at t,plano  tx,interacts with data scientists  data programming languages and technology  writes code  completes  computing tasks using big data technologies such as hadoop    ,,
218,dallas,big data platform architect,verizon,irving  tx,experience working with data  data warehousing   bi  knowledge of aws data stack using s3  emr  data pipeline    ,,
219,dallas,data scientist sr  advisor  dallas area ,dell,dallas  tx,our junior data scientist will assist the people insights core teams in converting dell technologies hr data into critical information that can be used to make   ,,
220,dallas,visiting research scientist,baylor scott   white health,dallas  tx,the visiting scientist position is supervised  records the design and data obtained from the  intended to develop young scientists into independent   ,,
221,pittsburgh,research statistician,aetna,pittsburgh  pa,aetna continues to build a world class data science organization to capture data  understand context  generate insights and react in real time    ,,
223,pittsburgh,machine learning lead manager   direct client requirement full time ,accion labs,pittsburgh  pa,we are looking for a machine learning expert who loves working with sensor data  developing new algorithms  is not afraid to challenge him herself with open   ,,
224,pittsburgh,statistician,upmc,pittsburgh  pa,write new programs for data analysis and conduct new data analysis as needed  participate in the preparation of manuscripts and research reports and   ,,
225,pittsburgh,machine learning,argo ai,pittsburgh  pa,we are looking for highly motivated  technically deep engineers and applied scientists to join our team and help us realize this vision    ,,
226,pittsburgh,data analyst,direct online marketing,pittsburgh  pa,5  years experience in data analytics  the data analyst will work with various teams in our office to help interpret data for us to provide better results for   ,,
227,pittsburgh,machine learning specialist,uber,pittsburgh  pa,at the atg  we are ambitious  engaged and excited about transforming the way the world moves  with locations in san francisco and pittsburgh  the advanced,,
228,pittsburgh,machine learning research scientist   2004504,software engineering institute,pittsburgh  pa,engineering efficient data intake  processing  and reporting streams for a variety of intelligence related data    ,,
229,pittsburgh,statistical genetics analyst,the university of pittsburgh,pittsburgh  pa,gwas   snp panel  and sequence  data  at least five years’ experience in a research setting with statistical genetic analyses and general biostatistical   ,,
230,pittsburgh,quantitative analytics   model development analyst sr,pnc bank,pittsburgh  pa,data gathering and reporting   working experience  analyzes complex data and associated quantitative analysis  makes recommendations based on findings from data   ,,
